epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,74409.4,0.79234,1.74654,0.54519,1.02535,0,0.88541,0.78075,0.83372,0.64487,0.83999,0.73264,0.7683,0.54101,0.69521,1.73893,0.4769,1.04546,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,75402.3,0.79005,1.74099,0.54185,1.02384,0,0.8835,0.78305,0.8343,0.64197,0.8249,0.72227,0.75464,0.54211,0.69179,1.73012,0.47423,1.04408,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,76395.2,0.78322,1.72982,0.53646,1.02059,0,0.87628,0.7895,0.83576,0.64552,0.8267,0.72295,0.75649,0.53548,0.689,1.7241,0.47135,1.04314,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,77374.3,0.77541,1.71795,0.53018,1.01811,0,0.87591,0.79012,0.83816,0.6457,0.83029,0.72252,0.75979,0.53785,0.6844,1.71694,0.46849,1.04042,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,78671.4,0.77227,1.70977,0.5272,1.01593,0,0.87697,0.78911,0.83836,0.64489,0.82868,0.72415,0.75922,0.53775,0.68025,1.71119,0.46555,1.03741,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,79649.5,0.76612,1.69577,0.51948,1.01277,0,0.87914,0.78967,0.83941,0.64542,0.82968,0.7262,0.75975,0.53855,0.67701,1.70632,0.46283,1.03527,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,80632.7,0.75867,1.67959,0.51333,1.00875,0,0.88502,0.78768,0.8393,0.64667,0.83034,0.72644,0.76025,0.53921,0.67451,1.70444,0.46141,1.03345,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,81607.7,0.75556,1.67579,0.51273,1.00787,0,0.8841,0.78966,0.84079,0.64809,0.831,0.72615,0.76182,0.54092,0.67221,1.7003,0.4598,1.03244,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,82691.3,0.7288,1.59184,0.46863,1.01456,0,0.87557,0.79609,0.84068,0.65236,0.83877,0.74002,0.7739,0.54223,0.66884,1.69318,0.45644,1.03055,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,83614.1,0.71343,1.56557,0.45559,1.00658,0,0.87918,0.79211,0.83991,0.65009,0.8385,0.74082,0.77516,0.54305,0.66622,1.68699,0.45394,1.0288,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,84532,0.70203,1.54426,0.44573,0.99935,0,0.88014,0.79014,0.83926,0.65122,0.84803,0.73532,0.77787,0.54367,0.66324,1.68139,0.45226,1.02649,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,85450.2,0.69348,1.52614,0.43856,0.99473,0,0.87822,0.79204,0.84014,0.65241,0.85185,0.73273,0.77774,0.5451,0.66096,1.67569,0.45035,1.02498,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,86371.2,0.68672,1.51123,0.43282,0.99111,0,0.87857,0.79322,0.84084,0.65572,0.85181,0.73306,0.77809,0.54203,0.65881,1.67068,0.44809,1.02346,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,87301.6,0.67818,1.4977,0.4272,0.9856,0,0.87734,0.79339,0.84115,0.65663,0.84152,0.72294,0.76753,0.5436,0.65635,1.66624,0.44561,1.02201,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,88215.2,0.67043,1.48482,0.42076,0.98304,0,0.87541,0.79529,0.84135,0.65723,0.84202,0.72311,0.76817,0.54431,0.65449,1.66218,0.44356,1.02068,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,89140.4,0.66197,1.47309,0.41584,0.97907,0,0.87557,0.79532,0.84168,0.65633,0.84199,0.72326,0.76922,0.54448,0.65248,1.65808,0.44175,1.01944,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,90060,0.65433,1.46076,0.40977,0.9757,0,0.87351,0.79724,0.84197,0.65653,0.84377,0.72176,0.7694,0.54442,0.65089,1.65443,0.44047,1.01835,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,90974.9,0.6494,1.45185,0.40584,0.97374,0,0.87511,0.79611,0.84207,0.6586,0.84385,0.72195,0.76934,0.54468,0.64958,1.65087,0.43897,1.01751,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
